Title,Rating,Genres,Tags,Url,Popularity,TagsGenres
The Evil Dead (1981) ,7.5,Horror            ,"['cult film', 'evil dead', 'necronomicon', 'supernatural rape', 'book of the dead']",https://www.imdb.com//title/tt0083907/,122,"horror,cult film,evil dead,necronomicon,supernatural rape,book of the dead,"
The Last House on the Left (2009) ,6.5,"Horror, Thriller            ","['psychopath', 'microwave oven', 'rape', 'lake', 'kidnapping']",https://www.imdb.com//title/tt0844708/,122,"horror,thriller,psychopath,microwave oven,rape,lake,kidnapping,"
Friday the 13th (2009) ,5.5,"Horror, Mystery, Thriller            ","['slasher', 'campfire', 'wakeboarding', 'slasher flick', 'gore']",https://www.imdb.com//title/tt0758746/,122,"horror,mystery,thriller,slasher,campfire,wakeboarding,slasher flick,gore,"
Scream 2 (1997) ,6.2,"Horror, Mystery            ","['villain', 'satire', 'self referential', 'evil woman', 'tough girl']",https://www.imdb.com//title/tt0120082/,122,"horror,mystery,villain,satire,self referential,evil woman,tough girl,"
The Haunting (1999) ,5.0,"Fantasy, Horror, Mystery            ","['haunted house', 'mansion', 'insomniac', 'horror movie remake', 'old house']",https://www.imdb.com//title/tt0171363/,122,"fantasy,horror,mystery,haunted house,mansion,insomniac,horror movie remake,old house,"
Halloween Kills (2021) ,None,"Horror, Thriller            ","['sequel', 'third part', 'retcon', 'slasher', 'halloween']",https://www.imdb.com//title/tt10665338/,122,"horror,thriller,sequel,third part,retcon,slasher,halloween,"
Train to Busan 2 (2020) ,5.5,"Action, Horror, Thriller            ","['sequel', 'second part', 'zombie', 'zombie apocalypse', 'post apocalypse']",https://www.imdb.com//title/tt8850222/,122,"action,horror,thriller,sequel,second part,zombie,zombie apocalypse,post apocalypse,"
Fright Night (1985) ,7.1,"Fantasy, Horror, Thriller            ","['vampire', 'horror host', 'homosexual subtext', 'boyfriend girlfriend relationship', 'cult film']",https://www.imdb.com//title/tt0089175/,122,"fantasy,horror,thriller,vampire,horror host,homosexual subtext,boyfriend girlfriend relationship,cult film,"
The Fly (1986) ,7.6,"Drama, Horror, Sci-Fi            ","['teleportation', 'woman takes off stocking', 'body horror', 'genetic alteration', 'metamorphosis']",https://www.imdb.com//title/tt0091064/,122,"drama,horror,sci-fi,teleportation,woman takes off stocking,body horror,genetic alteration,metamorphosis,"
Tarantula (1955) ,6.5,"Horror, Sci-Fi            ","['monster', 'arizona desert', 'desert', 'deformity', 'vivisection']",https://www.imdb.com//title/tt0048696/,122,"horror,sci-fi,monster,arizona desert,desert,deformity,vivisection,"
El hoyo (2019) ,7.0,"Horror, Sci-Fi, Thriller            ","['hunger', 'prison', 'cannibalism', 'inmate', 'platform']",https://www.imdb.com//title/tt8228288/,122,"horror,sci-fi,thriller,hunger,prison,cannibalism,inmate,platform,"
Suspiria (I) (2018) ,6.8,"Fantasy, Horror, Mystery            ","['telepathy', 'actress plays three characters', '1970s', 'intestines', 'academy']",https://www.imdb.com//title/tt1034415/,122,"fantasy,horror,mystery,telepathy,actress plays three characters,1970s,intestines,academy,"
Alien: Covenant (2017) ,6.4,"Horror, Sci-Fi, Thriller            ","['xenomorph', 'alien', 'android', 'future', 'alien technology']",https://www.imdb.com//title/tt2316204/,122,"horror,sci-fi,thriller,xenomorph,alien,android,future,alien technology,"
Hush (I) (2016) ,6.6,"Horror, Thriller            ","['home invasion', 'writer', 'masked killer', 'deaf', 'female protagonist']",https://www.imdb.com//title/tt5022702/,122,"horror,thriller,home invasion,writer,masked killer,deaf,female protagonist,"
Oculus (2013) ,6.5,"Horror, Mystery            ","['mirror', 'trauma', 'released from a mental hospital', 'video camera', 'brother sister relationship']",https://www.imdb.com//title/tt2388715/,122,"horror,mystery,mirror,trauma,released from a mental hospital,video camera,brother sister relationship,"
The Lost Boys (1987) ,7.3,"Comedy, Horror            ","['black comedy', 'vampire', 'california', 'small town', '1980s']",https://www.imdb.com//title/tt0093437/,122,"comedy,horror,black comedy,vampire,california,small town,1980s,"
The Meg (2018) ,5.6,"Action, Horror, Sci-Fi            ","['love interest', 'chinawoman', 'tattooed trash', 'cleavage', 'prehistoric animal']",https://www.imdb.com//title/tt4779682/,122,"action,horror,sci-fi,love interest,chinawoman,tattooed trash,cleavage,prehistoric animal,"
Death of Me (2020) ,4.3,"Horror, Mystery, Thriller            ","['death in title', 'video footage', 'spiked drink', 'strangulation', 'digging a grave']",https://www.imdb.com//title/tt1830643/,122,"horror,mystery,thriller,death in title,video footage,spiked drink,strangulation,digging a grave,"
The Texas Chain Saw Massacre (1974) ,7.5,Horror            ,"['chainsaw', 'hitchhiker', 'cannibal', 'evil family', 'chainsaw murder']",https://www.imdb.com//title/tt0072271/,122,"horror,chainsaw,hitchhiker,cannibal,evil family,chainsaw murder,"
A Quiet Place (2018) ,7.5,"Drama, Horror, Sci-Fi            ","['survival', 'sign language', 'deafness', 'silence', 'post apocalypse']",https://www.imdb.com//title/tt6644200/,121,"drama,horror,sci-fi,survival,sign language,deafness,silence,post apocalypse,"
Interview with the Vampire: The Vampire Chronicles (1994) ,7.5,"Drama, Horror            ","['vampire', 'gothic', 'betrayal', 'dark hero', 'immortality']",https://www.imdb.com//title/tt0110148/,121,"drama,horror,vampire,gothic,betrayal,dark hero,immortality,"
The Lodge (2019) ,6.0,"Drama, Horror, Thriller            ","['mass suicide', 'suicide', 'brother sister relationship', 'lodge', 'snow']",https://www.imdb.com//title/tt7347846/,121,"drama,horror,thriller,mass suicide,suicide,brother sister relationship,lodge,snow,"
Friday the 13th Part 2 (1981) ,6.1,"Horror, Mystery, Thriller            ","['pitchfork', 'ice pick', 'slasher', 'jason voorhees', 'b movie']",https://www.imdb.com//title/tt0082418/,121,"horror,mystery,thriller,pitchfork,ice pick,slasher,jason voorhees,b movie,"
Underwater (2020) ,5.8,"Action, Horror, Sci-Fi            ","['sea monster', 'lovecraftian', 'researcher', 'comic relief', 'group of survivors']",https://www.imdb.com//title/tt5774060/,121,"action,horror,sci-fi,sea monster,lovecraftian,researcher,comic relief,group of survivors,"
Halloween (2007) ,6.1,Horror            ,"['serial killer', 'serial murderer', 'sadistic psychopath', 'michael myers', 'horror movie remake']",https://www.imdb.com//title/tt0373883/,121,"horror,serial killer,serial murderer,sadistic psychopath,michael myers,horror movie remake,"
The Wretched (2019) ,5.8,Horror            ,"[""taking off someone's underwear"", 'embarrassing male nudity', 'embarrassing nudity', 'woman wrapped in a towel', 'daisy dukes']",https://www.imdb.com//title/tt8305806/,121,"horror,taking off someone's underwear,embarrassing male nudity,embarrassing nudity,woman wrapped in a towel,daisy dukes,"
30 Days of Night (2007) ,6.6,"Action, Horror, Thriller            ","['vampire', 'small town', 'alaska', 'winter', 'based on graphic novel']",https://www.imdb.com//title/tt0389722/,121,"action,horror,thriller,vampire,small town,alaska,winter,based on graphic novel,"
The Others (2001) ,7.6,"Horror, Mystery, Thriller            ","['mansion', 'haunting', 'surprise ending', 'suicide attempt', 'able to see the dead']",https://www.imdb.com//title/tt0230600/,121,"horror,mystery,thriller,mansion,haunting,surprise ending,suicide attempt,able to see the dead,"
Jennifer's Body (2009) ,5.2,"Comedy, Horror            ","['scene during end credits', 'succubus', 'female removes her clothes', 'scantily clad female', 'lesbian teen']",https://www.imdb.com//title/tt1131734/,121,"comedy,horror,scene during end credits,succubus,female removes her clothes,scantily clad female,lesbian teen,"
Freaky (2020) ,7.9,"Comedy, Horror, Thriller            ","['body swap', 'serial killer', 'slasher killer', 'violence', 'black comedy']",https://www.imdb.com//title/tt10919380/,121,"comedy,horror,thriller,body swap,serial killer,slasher killer,violence,black comedy,"
Event Horizon (1997) ,6.7,"Horror, Sci-Fi, Thriller            ","['spaceship', 'black hole', 'hell', 'astronaut', 'female astronaut']",https://www.imdb.com//title/tt0119081/,121,"horror,sci-fi,thriller,spaceship,black hole,hell,astronaut,female astronaut,"
Carrie (1976) ,7.4,Horror            ,"['telekinesis', 'prank', 'high school prom', 'bad mother', 'female rear nudity']",https://www.imdb.com//title/tt0074285/,121,"horror,telekinesis,prank,high school prom,bad mother,female rear nudity,"
#Saraitda (2020) ,6.2,"Action, Drama, Horror            ","['city', 'isolation', 'seoul', 'apartment', 'zombie']",https://www.imdb.com//title/tt10620868/,121,"action,drama,horror,city,isolation,seoul,apartment,zombie,"
I See You (II) (2019) ,6.8,"Crime, Drama, Horror            ","['phrogging', 'kidnapping', 'murder', 'infidelity', 'dysfunctional family']",https://www.imdb.com//title/tt6079516/,121,"crime,drama,horror,phrogging,kidnapping,murder,infidelity,dysfunctional family,"
Train to Busan (2016) ,7.6,"Action, Horror, Thriller            ","['south korea', 'cheerleader legs', 'cheerleader uniform', 'pretty legs', 'hiked skirt']",https://www.imdb.com//title/tt5700672/,121,"action,horror,thriller,south korea,cheerleader legs,cheerleader uniform,pretty legs,hiked skirt,"
It Follows (2014) ,6.8,"Horror, Mystery, Thriller            ","['tied to a wheelchair', 'being followed', 'teenage girl', 'supernatural being', 'chloroform']",https://www.imdb.com//title/tt3235888/,121,"horror,mystery,thriller,tied to a wheelchair,being followed,teenage girl,supernatural being,chloroform,"
Good Samaritan (2020) ,3.6,"Horror, Mystery, Thriller            ","['woman', 'karma', 'faith', 'reference to final destination']",https://www.imdb.com//title/tt10418846/,121,"horror,mystery,thriller,woman,karma,faith,reference to final destination,"
Insidious (I) (2010) ,6.8,"Horror, Mystery, Thriller            ","['boy', 'house', 'coma', 'baby', 'demon']",https://www.imdb.com//title/tt1591095/,121,"horror,mystery,thriller,boy,house,coma,baby,demon,"
Pumpkinhead (1988) ,6.2,"Fantasy, Horror            ","['demon', 'vengeance', 'monster', 'first part', 'evil woman']",https://www.imdb.com//title/tt0095925/,121,"fantasy,horror,demon,vengeance,monster,first part,evil woman,"
Hellraiser (1987) ,7.0,"Horror, Thriller            ","['puzzle box', 'demon', 'sadomasochism', 'portal to hell', 'gore']",https://www.imdb.com//title/tt0093177/,120,"horror,thriller,puzzle box,demon,sadomasochism,portal to hell,gore,"
The Nun (2018) ,5.3,"Horror, Mystery, Thriller            ","['priest', 'spin off', 'nun', 'buried alive', 'romania']",https://www.imdb.com//title/tt5814060/,120,"horror,mystery,thriller,priest,spin off,nun,buried alive,romania,"
Scary Stories to Tell in the Dark (2019) ,6.2,"Adventure, Horror, Mystery            ","['scarecrow', 'haunted book', 'haunted house', 'monster', 'hospital']",https://www.imdb.com//title/tt3387520/,120,"adventure,horror,mystery,scarecrow,haunted book,haunted house,monster,hospital,"
Follow Me (2020) ,5.4,"Adventure, Horror, Thriller            ",['social media'],https://www.imdb.com//title/tt8160834/,120,"adventure,horror,thriller,social media,"
Final Destination (2000) ,6.7,"Horror, Thriller            ","['extrasensory perception', 'teen horror', 'teenage girl', 'death', 'premonition']",https://www.imdb.com//title/tt0195714/,120,"horror,thriller,extrasensory perception,teen horror,teenage girl,death,premonition,"
The Hills Have Eyes (2006) ,6.4,"Horror, Thriller            ","['murder of family', 'deformity', 'rape', 'murder spree', 'graphic violence']",https://www.imdb.com//title/tt0454841/,120,"horror,thriller,murder of family,deformity,rape,murder spree,graphic violence,"
Resident Evil (2002) ,6.7,"Action, Horror, Sci-Fi            ","['doberman', 'cut into pieces', 'zombie', 'commando', 'kissing while having sex']",https://www.imdb.com//title/tt0120804/,120,"action,horror,sci-fi,doberman,cut into pieces,zombie,commando,kissing while having sex,"
Zombieland: Double Tap (2019) ,6.7,"Action, Adventure, Comedy            ","['altered version of studio logo', 'marriage proposal', 'sequel', 'second part', 'zombie']",https://www.imdb.com//title/tt1560220/,120,"action,adventure,comedy,altered version of studio logo,marriage proposal,sequel,second part,zombie,"
A Quiet Place Part II (2020) ,None,"Drama, Horror, Sci-Fi            ","['sequel', 'second part', 'alien', 'post apocalypse', 'psychotronic film']",https://www.imdb.com//title/tt8332922/,120,"drama,horror,sci-fi,sequel,second part,alien,post apocalypse,psychotronic film,"
Il legame (2020) ,4.6,"Drama, Horror, Thriller            ",[],https://www.imdb.com//title/tt10914452/,120,"drama,horror,thriller,"
A Nightmare on Elm Street (2010) ,5.2,"Crime, Drama, Horror            ","['dream', 'nightmare', 'springwood ohio', 'child molestation', 'child molester']",https://www.imdb.com//title/tt1179056/,120,"crime,drama,horror,dream,nightmare,springwood ohio,child molestation,child molester,"
Ang-ma-reul bo-at-da (2010) ,7.8,"Action, Crime, Drama            ","['revenge', 'fighting', 'murder', 'tragic event', 'decapitation']",https://www.imdb.com//title/tt1588170/,120,"action,crime,drama,revenge,fighting,murder,tragic event,decapitation,"
12 Hour Shift (2020) ,5.3,"Comedy, Horror, Thriller            ","['nurse', 'organ trafficking']",https://www.imdb.com//title/tt10309552/,120,"comedy,horror,thriller,nurse,organ trafficking,"
House on Haunted Hill (1999) ,5.7,"Crime, Fantasy, Horror            ","['haunted hospital', 'characters killed one by one', 'haunted house', 'strapped to a bed', 'breasts']",https://www.imdb.com//title/tt0185371/,120,"crime,fantasy,horror,haunted hospital,characters killed one by one,haunted house,strapped to a bed,breasts,"
